loading, validation, memory_usage
9.191, 2.578, 1.70312500000000000000
8.975, 3.549, 1.67871093750000000000
9.049, 3.042, 1.72265625000000000000
9.122, 3.31, 1.77050781250000000000
8.683, 2.493, 1.67089843750000000000
8.893, 3.042, 1.64941406250000000000
